bedrooms;bathrooms;stories;mainroad;guestroom;basement;hotwaterheating;airconditioning;parking;prefarea;furnishingstatus;area;price
3;1;2;0;0;0;0;0;1;0;0;3600;2940000
4;1;2;0;0;0;0;0;0;0;0;3660;2940000
3;1;2;0;0;0;0;0;1;0;1;3480;2940000
2;1;1;0;0;0;0;0;0;0;2;2700;2940000
3;1;2;0;0;0;0;0;0;0;0;3150;2940000
3;1;2;1;0;0;0;0;0;0;1;6615;2940000
2;1;1;0;0;0;0;0;0;0;0;3040;2870000
2;1;1;1;0;0;0;0;0;0;0;3630;2870000
2;1;1;1;0;0;0;0;0;0;1;6000;2870000
4;1;2;1;0;0;0;0;0;0;0;5400;2870000
4;1;3;1;0;0;0;0;0;0;0;5200;2852500
3;1;2;0;0;0;0;0;1;0;1;3300;2835000
3;1;2;0;0;0;1;0;1;0;0;4350;2835000
2;1;1;0;0;0;0;0;1;0;2;2640;2835000
3;1;2;1;0;1;0;0;1;0;0;2650;2800000
3;1;1;1;0;0;0;0;0;0;2;3960;2800000
2;1;1;1;0;0;0;0;0;0;0;6800;2730000
3;1;2;1;0;0;0;0;1;0;0;4000;2730000
2;1;1;1;0;0;0;0;0;0;0;4000;2695000
2;1;1;1;0;0;0;0;0;0;0;3934;2660000
2;1;2;1;0;0;0;0;0;0;1;2000;2660000
3;3;2;0;1;0;0;0;0;0;0;3630;2660000
3;1;1;1;0;0;0;0;0;0;0;2800;2660000
3;1;1;0;0;0;0;0;0;0;0;2430;2660000
2;1;1;1;0;0;0;0;1;0;1;3480;2660000
3;1;1;1;0;0;0;0;0;0;1;4000;2660000
2;1;1;1;0;0;0;1;0;0;0;3185;2653000
3;1;2;1;0;0;0;1;0;0;0;4000;2653000
2;1;1;0;0;0;0;0;0;0;0;2910;2604000
2;1;1;1;0;0;0;0;0;0;0;3600;2590000
2;1;1;1;0;0;0;0;0;0;0;4400;2590000
2;2;2;1;0;1;0;0;1;0;2;3600;2590000
3;1;1;0;0;0;0;0;0;0;0;2880;2520000
3;1;1;0;0;0;0;0;0;0;0;3180;2520000
2;1;2;1;0;0;0;0;0;0;2;3000;2520000
3;1;2;1;0;0;0;0;0;0;0;4400;2485000
3;1;2;0;0;0;0;0;0;0;1;3000;2485000
3;1;2;1;0;1;0;0;0;0;0;3210;2450000
2;1;1;0;1;0;0;0;1;0;0;3240;2450000
2;1;1;1;0;0;0;0;1;0;0;3000;2450000
2;1;1;1;1;0;0;0;0;0;0;3500;2450000
2;1;2;1;0;0;0;0;0;0;0;4840;2450000
2;1;1;1;0;0;0;0;0;0;0;7700;2450000
2;1;1;0;0;0;0;0;0;0;0;3635;2408000
3;1;2;1;0;0;0;0;0;0;2;2475;2380000
4;2;2;1;0;0;0;0;0;0;2;2787;2380000
2;1;1;1;0;0;0;0;0;0;0;3264;2380000
2;1;1;1;0;0;0;0;0;0;0;3640;2345000
2;1;1;1;0;0;0;0;0;0;0;3180;2310000
2;1;1;0;0;1;0;0;0;0;1;1836;2275000
1;1;1;0;0;0;0;0;0;0;0;3970;2275000
3;1;2;1;0;1;0;0;0;0;0;3970;2275000
3;1;1;0;0;0;1;0;0;0;0;1950;2240000
3;1;1;0;0;0;0;1;0;1;0;5300;2233000
2;1;1;0;0;0;0;0;0;0;0;3000;2135000
3;1;2;1;0;0;0;0;0;0;0;2400;2100000
4;1;2;1;0;0;0;0;0;0;0;3000;2100000
2;1;1;1;0;0;0;0;1;0;0;3360;2100000
5;1;2;0;0;0;0;0;0;0;0;3420;1960000
3;1;2;1;0;0;0;0;0;0;0;1700;1890000
2;1;1;1;0;0;0;0;0;0;0;3649;1890000
2;1;1;0;0;0;0;0;1;0;0;2990;1855000
2;1;1;1;0;1;0;0;2;0;0;3000;1820000
3;1;1;0;0;0;0;0;0;0;1;2400;1767150
2;1;1;1;0;0;0;0;0;0;0;3620;1750000
3;1;1;0;0;0;0;0;0;0;2;2910;1750000
3;1;2;1;0;0;0;0;0;0;0;3850;1750000
